,smiles,ki
176,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)CC1,4200.0
177,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,4200.0
178,Cc1ccc(/C=C/C(=O)c2cc(Br)ccc2O)cc1,4220.0
179,N=C(N)N1N=C(c2ccccc2)CC1c1ccc(Cl)cc1,4220.0
180,Cc1cc2cc(NC(=O)/C=C/c3cccc(Cl)c3)ccc2[nH]1,4230.0
181,O=C1Nc2cc(Oc3ccccc3)ccc2C1=O,4270.0
182,O=C1Nc2cc(CCc3ccccc3)ccc2C1=O,4280.0
183,CCCCSc1ccc(C[C@H](C)N)cc1,4580.0
184,[C-]#[N+]c1ccc(COc2ccc([C@H]3C[C@@H]3NCC(=O)N3CCN(C)CC3)cc2)cc1,4600.0
185,NC(=O)N1N=C(c2ccccc2)CC1c1ccncc1,4790.0
186,N=C(N)N1N=C(c2ccccc2)CC1c1ccncc1,4800.0
187,CCOC(=O)N1N=C(c2ccccc2O)CC1c1ccc(OC)cc1,5000.0
188,Cc1ccc([C@H]2CC(c3cc(Cl)ccc3O)=NN2C(=O)c2ccncc2)cc1,5230.0
189,c1ccc(/N=N/c2ccccn2)cc1,5300.0
190,Nc1ccc(OCc2ccccc2)cc1,5510.0
191,COc1ccc(/C=C/C(=O)c2ccc(Br)cc2)cc1,5550.0
192,CCOC(=O)N1N=C(c2ccccc2O)CC1c1ccc(C)cc1,6000.0
193,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3ccc(Cl)cc3)cc2)CC1,6400.0
194,Cc1cccc(/C=C/C(=O)c2ccc(Cl)cc2)c1,7000.0
195,O=C(CN[C@H]1C[C@@H]1c1ccccc1)N1CCN(Cc2ccccc2)CC1,7000.0
196,Cc1ccc(/C=C/C(=O)c2cc(Cl)ccc2O)cc1,7220.0
197,Nc1ccc(Oc2ccc(Cl)cc2)cc1,7240.0
198,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3ccc(C#N)cc3)cc2)CC1,7400.0
199,CC(NC1CC1c1ccccc1)c1ccc2c(c1)OCCO2,7400.0
200,NC1CC1c1ccc(NC(=O)OCc2ccccc2)cc1,7400.0
201,Cc1ccc(/C=C/C(=O)c2ccc(Cl)cc2)cc1,7700.0
202,Cn1c(=O)c2c(nc(Oc3ccccc3)n2C)n(C)c1=O,7840.0
203,Cc1cc2cc(NC(=O)/C=C/c3ccccc3)ccc2[nH]1,8010.0
204,c1ccc2oc(C3=NCCN3)cc2c1,8300.0
205,CN(C)[C@@H]1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccccc2)C1,8800.0
206,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3ccccc3)cc2)CC1,9000.0
207,CN(CCCCCCCCCCCCN=C=S)Cc1ccccc1,9000.0
208,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,9500.0
209,Nc1ccc(NCc2ccccn2)cc1,9600.0
210,N#Cc1ccc(-c2cc(OCC3CCNCC3)cnc2-c2ccc(C(F)(F)F)cc2)cc1,9700.0
211,Cn1cccc1C(=O)C(c1ccccc1)N1CCN(Cc2ccccc2)CC1,10000.0
212,Nc1cccc(OCc2ccccc2)c1,10100.0
213,CC(C)CCOc1nc2c(c(=O)n(C)c(=O)n2C)n1C,10350.0
214,N#Cc1ccc(-c2cc(OCC3CCNCC3)cnc2-c2ccccc2)cc1,10600.0
215,CCOC(=O)N1N=C(c2ccccc2O)CC1c1ccccc1,11000.0
216,Cn1c(=O)c2c(nc(OCC3CCCC3)n2C)n(C)c1=O,11650.0
217,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3ccc(S(C)(=O)=O)cc3)cc2)CC1,12100.0
218,COc1ccc(/C=C/C(=O)c2ccc(Cl)cc2)cc1,13900.0
219,Cc1ccc([C@H]2CC(c3cc(Br)ccc3O)=NN2C(=O)c2ccco2)cc1,14000.0
220,CCCSc1ccc(C[C@H](C)N)cc1,14030.0
221,COc1ccc(C(=O)/C=C/c2ccc(C)cc2)cc1,14900.0
222,Cn1cccc1C(=O)CN1CCCCC1,15000.0
223,Cc1cccc(N2CC(CO)OC2=O)c1,15000.0
224,c1ccc2c(c1)CCNC2,15000.0
225,COc1ccc2c(c1)CC[N+](C)=C2.[I-],15000.0
226,C#CCN1C(=O)C(=O)c2ccccc21,15150.0
227,CCOC(=O)N1N=C(c2ccccc2O)CC1c1ccc(Cl)cc1,15550.0
228,COc1cc(C2=NN(C(=S)Nc3ccccc3)C(c3ccccc3)C2)ccc1O,15900.0
229,N[C@@H]1C[C@H]1c1ccccc1,16000.0
230,CCOc1ccc(C2CNC(=O)CS2)cc1,16900.0
231,NC1CC1c1cc(F)cc(F)c1OCc1ccccc1,17000.0
232,C#CCN[C@@H]1CCc2ccc(O)cc21,17000.0
233,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3cccc(C#N)c3)cc2)CC1,18200.0
234,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(CCc3ccccc3)cc2)CC1,18200.0
235,CN1CCN(C(=O)CN[C@H]2CC2c2ccc(-c3cc(Cl)cc(Cl)c3)cc2)CC1,18300.0
236,Cc1ccc(-c2ncc(OCC3CCNCC3)cc2-c2ccc(C#N)cc2)cc1,18700.0
237,CN(C)[C@H]1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccccc2)C1,19200.0
238,CS(=O)(=O)NC1CCC(N[C@H]2C[C@@H]2c2ccc(-c3cccc(C(F)(F)F)c3)nc2)CC1,20000.0
239,NC(=O)C1CCC(N[C@H]2C[C@@H]2c2ccc(-c3cccc(C(F)(F)F)c3)nc2)CC1,20000.0
240,CC(=O)NC1CCC(N[C@H]2C[C@@H]2c2ccc(-c3cccc(C(F)(F)F)c3)nc2)CC1,20000.0
241,NC1CCC(N[C@H]2C[C@@H]2c2ccc(-c3cccc(C(F)(F)F)c3)nc2)CC1,20000.0
242,COc1ccc(C(=O)N2N=C(c3cc(Cl)ccc3O)C[C@@H]2c2ccc(C)cc2)cc1,20000.0
243,OC1CCC(N[C@H]2C[C@@H]2c2ccc(-c3cccc(C(F)(F)F)c3)nc2)CC1,20000.0
244,N[C@@H]1CCN(C2CCC(N[C@H]3C[C@@H]3c3ccccc3)CC2)C1,20000.0
245,O=C1C=CC(=O)C=C1,20300.0
246,COc1ccc(C2CC2N)cc1,21000.0
247,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,21500.0
248,C#CN(C)Cc1ccc(C(=O)NC2CC(C)(C)N([O])C(C)(C)C2)cc1,22000.0
249,Cc1ccccc1NC(=S)N1N=C(c2ccccc2)CC1c1ccccc1O,22000.0
250,NCCCNCCCCNCCCNCc1cccs1,23000.0
251,Cn1cccc1C(O)CN1CCCCC1,23900.0
252,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3ccc(Cl)cc3)cc2)CC1,24500.0
253,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3ccc(F)cc3F)cc2)CC1,24600.0
254,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCCc3ccccc3)cc2)CC1,24700.0
255,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3cccc(F)c3)cc2)CC1,25400.0
256,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3ccccc3F)cc2)CC1,25900.0
257,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3cccc(C(F)(F)F)c3)cc2)CC1,26100.0
258,Cc1ccc(/C=C/C(=O)c2ccc(O)cc2)cc1,27000.0
259,COc1cc(C2=NN(c3ccccc3)C(c3ccccc3)C2)ccc1O,27950.0
260,COc1cc2c(cc1OC)CN(C)CC2,29000.0
261,Br.COc1cc2c(cc1OC)CN(C)CC2,29000.0
262,COc1ccc(-c2ccc([C@H]3C[C@@H]3NCC(=O)N3CCN(C)CC3)cc2)cc1,29300.0
263,COc1ccc(C(=O)N2N=C(c3cc(Br)ccc3O)C[C@@H]2c2ccc(C)cc2)cc1,29660.0
