,smiles,ki
129,Cc1nccc2c1[nH]c1cc(OCCCN(C)C)ccc12,684.0
130,CC(=O)c1ccc(-c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)cn1,700.0
131,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,710.0
132,O=C1Nc2cc(/C=C/c3ccccc3)ccc2C1=O,717.0
133,CCOC(=O)N1N=C(c2ccccc2O)CC1c1ccc(Cl)cc1,760.0
134,NC(=S)N1N=C(c2ccccc2)CC1c1ccc(Cl)cc1,805.0
135,CCOC(=O)N1N=C(c2ccccc2O)CC1c1ccccc1,810.0
136,CCOC(=O)N1N=C(c2ccccc2O)CC1c1ccc(C)cc1,880.0
137,Clc1ccc(OCCCN2CC=CCC2)c(Cl)c1,900.0
138,O=C1NC(=O)c2cc(OCCc3ccccc3)ccc21,940.0
139,CC(=O)NC[C@H]1CN(c2ccc(-c3cc(C)no3)c(F)c2)C(=O)O1,950.0
140,COc1ccc(C2CC(c3ccccc3)=NN2C(N)=O)cc1,980.0
141,CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1,1000.0
142,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,1000.0
143,Cc1nccc2c1[nH]c1cc(OCCN(C)C)ccc12,1023.8
144,O=C(/C=C/c1cccc(Cl)c1)Oc1ccc2c(c1)CC(=O)O2,1030.0
145,O=C1NC(=O)c2cc(OCc3ccccc3)ccc21,1100.0
146,NC/C(=C/F)CCc1ccc(F)cc1,1100.0
147,C#CCN1C(=O)C(=O)c2cc(S(=O)(=O)N(C)Cc3ccc(F)cc3)ccc21,1140.0
148,NC1CC1c1ccc(NC(=O)C(Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,1200.0
149,O=C1Nc2ccc(OCc3ccccc3)cc2C1=O,1220.0
150,O=C1Nc2cc(-c3ccccc3)ccc2C1=O,1220.0
151,O=C1Nc2ccc(CCc3ccccc3)cc2C1=O,1290.0
152,Cn1ccc2c3ccccc3nc-2c1,1430.0
153,Cc1cccc(N2CC(CO)OC2=O)c1,1500.0
154,O=C1NC(=O)c2cc(Oc3ccccc3)ccc21,1540.0
155,O=C1O[C@@H](Cn2nncc2F)CN1c1ccc(C2=CCS(=O)(=O)CC2)c(F)c1,1600.0
156,COCc1ccc(-c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)cn1,1700.0
157,O=C1Nc2cc(CCc3ccccc3)ccc2C1=O,1830.0
158,CNc1ccccc1-c1nc(C(=O)OC)cs1,1840.0
159,C#CCN[C@@H]1CCc2ccc(O)cc21,1900.0
160,COc1cc2c(c(OC)c1OC)C(C)=NCC2.O=C(O)/C=C/C(=O)O,2000.0
161,COc1cc2c(cc1OC)[C@@H](C)N(C)CC2.Cl,2000.0
162,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,2000.0
163,C[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC(C)(C)[C@@H](C(O)O)NC(=O)[C@H](Cc2ccccc2)NC1=O,2000.0
164,Cc1cc2cc(NC(=O)/C=C/c3cccc(Cl)c3)ccc2[nH]1,2020.0
165,O=C1Cc2cc(OC(=O)c3cccc(Cl)c3)ccc2O1,2020.0
166,COc1ccccc1NC(=S)N1N=C(c2ccccc2)CC1c1ccc(O)cc1,2150.0
167,COc1cc(C2=NN(c3ccccc3)C(c3ccccc3)C2)ccc1O,2160.0
168,CN(Cc1ccc(F)cc1)S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2,2180.0
169,O=C1Nc2ccc(/C=C/c3cccc(F)c3)cc2C1=O,2200.0
170,CN(C)c1ccc(/N=N/c2ccccn2)cc1,2300.0
171,NC1CC1c1ccc(NC(=O)c2ccccc2)cc1,2300.0
172,O=C(CN[C@H]1C[C@@H]1c1ccccc1)N1CCN(c2ccccc2)CC1,2320.0
173,O=C1NC(=O)c2cc(OC/C=C/c3ccccc3)ccc21,2370.0
174,C#CCN1C(=O)C(=O)c2cc(S(=O)(=O)N(C)Cc3ccccc3F)ccc21,2480.0
175,O=C1Nc2ccc(Oc3ccccc3)cc2C1=O,2490.0
176,CO[C@@H](C)c1ccc(-c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)cn1,2500.0
177,CCCCOc1ccc(C2CNCCS2)cc1,2500.0
178,Nc1ccc(NCc2ccccn2)cc1,2500.0
179,Cc1cc2cc(NC(=O)c3ccc(Cl)c(Cl)c3)ccc2[nH]1,2580.0
180,COc1cc(C2=NN(C(N)=S)C(c3ccccc3)C2)ccc1O,2580.0
181,C#CCN1C(=O)C(=O)c2cc(S(=O)(=O)N(C)Cc3cccc(F)c3)ccc21,2810.0
182,Cc1cc(-c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)on1,2900.0
183,CC1=C(C)C(=O)c2cc(C)ccc2C1=O,3000.0
184,O=C1O[C@@H](Cn2cc(Cl)nn2)CN1c1ccc(C2=CCS(=O)(=O)CC2)c(F)c1,3000.0
185,CO[C@H](C)c1ccc(-c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)cn1,3000.0
186,O=C1Cc2cc(OC(=O)c3ccccc3)ccc2O1,3050.0
187,O=Cc1cn(C[C@H]2CN(c3ccc(C4=CCS(=O)(=O)CC4)c(F)c3)C(=O)O2)nn1,3200.0
188,O=C1Nc2ccc(Oc3ccc(Cl)cc3)cc2C1=O,3210.0
189,O=C(/C=C/c1ccccc1)Oc1ccc2c(c1)CC(=O)O2,3290.0
190,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(C2=CCS(=O)(=O)CC2)c(F)c1,3400.0
191,CC(C)(C)OC(=O)c1cn(C[C@H]2CN(c3ccc(C4=CCS(=O)(=O)CC4)c(F)c3)C(=O)O2)nn1,3500.0
192,C#CCN(C)[C@H](C)Cc1ccccc1,3600.0
193,COc1cc(C2=NN(C(C)=O)C(c3ccccc3)C2)ccc1O,3870.0
194,COc1ccc2c(c1)CC[N+](C)=C2.[I-],4000.0
