,smiles,ic50
192,CN1CCN(c2ccc(C(=O)Nc3ccc([C@H]4C[C@@H]4N)cc3)cc2)CC1,160.0
193,c1ccc(-c2cccc(CN[C@H]3C[C@@H]3c3ccccc3)c2)cc1,160.5
194,C#CCN(C)[C@H](C)Cc1ccc(OCc2ccccc2)cc1,161.0
195,CN1C(=N)N/C(=C\c2c[nH]c3cc(Br)ccc23)C1=O,165.0
196,CC(O)COC[C@@H]1O[C@H]2O[C@H]3[C@H](COCC(C)O)O[C@@H](O[C@H]4[C@H](COCC(C)O)O[C@@H](O[C@H]5[C@H](COCC(C)O)O[C@@H](O[C@H]6[C@H](COCC(C)O)OC[C@@H](O[C@H]7[C@H](COCC(C)O)O[C@@H](O[C@H]8[C@H](COCC(C)O)O[C@@H](O[C@H]9[C@H](COCC(C)O)O[C@@H](O[C@@H]1[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H]9O)[C@@H](O)[C@@H]8O)[C@@H](O)[C@@H]7O)[C@@H]6O)[C@@H](O)[C@@H]5O)[C@@H](O)[C@@H]4O)[C@@H](O)[C@@H]3O,167.0
197,C[C@@]1(N)C[C@H]1c1ccccc1,170.0
198,O=C1OCc2ccc(OCc3ccc(Cl)cc3)cc21,172.0
199,N#Cc1ccc(COc2ccc3occc(=O)c3c2)cc1,175.0
200,COc1cc(Br)c2oc(C3CCNCC3)cc2c1,180.0
201,COc1ccc2c(=O)c3ccccc3oc2c1,180.0
202,O=C1OCc2ccc(OCC3CCCCC3)cc21,185.0
203,O=c1oc2cc(OCc3ccc(Cl)cc3)ccc2s1,189.0
204,O=C(Nc1ccc(O)c(O)c1)c1cc(=O)c2ccccc2o1,190.0
205,CCOC(=O)C1=Cc2cc(C)ccc2CC1=O,190.55
206,Cc1c(C)c2ccc(OCCCCCCN(C)Cc3ccccc3)cc2oc1=O,191.0
207,C#CCN(C)[C@H](C)Cc1ccc(OCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,192.6
208,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccc(N3CCOCC3)c(NC(=O)OCc3ccccc3)c2)cc1,193.1
209,C#CCN(C)CCCc1ccc(O)c2ncccc12,200.0
210,N[C@H]1C[C@@H]1c1ccc(NC(=O)[C@@H](Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,200.0
211,Clc1ccc(CN[C@H]2C[C@@H]2c2ccccc2)cc1,205.5
212,O=C1CCCc2cc(OCc3cccc(Cl)c3)ccc21,207.0
213,CCOC(=O)C1=Cc2cc(Br)ccc2CC1=O,208.93
214,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,210.0
215,Cn1c(-c2cccnc2)c(C#N)c2ccc(Cl)cc21,210.0
216,O=C1CCCc2cc(OCc3cccc(Br)c3)ccc21,212.0
217,N[C@@H]1C[C@H]1c1ccc(NC(=O)[C@@H](Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,220.0
218,O=C1NC(=O)c2cc(OCc3ccc(Br)cc3)ccc21,220.0
219,c1ccc(-c2ncc3cc(-n4ccnc4)ccc3n2)cc1,220.0
220,C[n+]1ccc2c(c1)c1ccccc1n2CCCCCCCCCn1c2ccccc2c2c[n+](C)ccc21,220.0
221,O=C1OCc2ccc(OCc3ccc(Br)cc3)cc21,227.0
222,CCOC(=O)C1=Cc2ccccc2CC1=O,229.09
223,O=C1Nc2ccc(/C=C/c3ccccc3)cc2C1=O,233.0
224,CN(C)c1ccc(/C=C2\Oc3cc(O)cc(O)c3C2=O)cc1,233.0
225,O=C1/C(=C/c2ccc(Cl)c(Cl)c2)Cc2cc(O)ccc21,235.0
226,N[C@]1(c2ccccc2)C[C@H]1c1ccccc1,235.0
227,CC(=O)COc1ccc2c3c(c(=O)oc2c1C)CCC3,235.0
228,CN1C(=N)N(C)/C(=C/c2c[nH]c3ccc(Br)cc23)C1=O,236.0
229,C[C@@H]1[C@H](NCc2cccc([N+](=O)[O-])c2)[C@H]1c1ccccc1,237.0
230,O=C1CCCc2cc(OCc3ccc(Cl)cc3)ccc21,238.0
231,O=c1ccc2ccc(OCc3ccc(Br)cc3)cc2o1,240.0
232,O=C1OCc2ccc(OCCOc3ccc(Br)cc3)cc21,240.0
233,N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1,240.0
234,O=C1NC(=O)c2cc3c(Cl)c(-c4ccccc4)[nH]c3cc21,250.0
235,c1cn(-c2ccc3nc(-c4ccoc4)ccc3c2)cn1,250.0
236,C[n+]1ccc2c(c1)c1ccccc1n2CCCCCCCCn1c2ccccc2c2c[n+](C)ccc21,250.0
237,N#Cc1cccc(COc2ccc3occc(=O)c3c2)c1,255.0
238,CCOC(=O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,257.04
239,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccc(OC(=O)N(C)C)c5ncccc45)CC3)ccc2n1C,257.6
240,O=C1/C(=C/c2ccc(O)cc2)Oc2cc(O)ccc21,260.0
241,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2cccn2C(=O)OCc2ccccc2)cc1,260.0
242,C/N=C1\NC(=O)/C(=C\c2c[nH]c3ccc(Br)cc23)N1C,263.0
243,O=C1CCCc2cc(OCc3ccc(F)cc3)ccc21,266.0
244,O=C1NC(=S)N/C1=C\c1c[nH]c2cccc(Br)c12,267.0
245,CN(C)c1ccc(/C=C2\Oc3ccccc3C2=O)cc1,268.0
246,O=C1/C(=C/c2ccc(N3CCCCC3)cc2)Oc2cc(O)cc(O)c21,271.0
247,O=C1NC(=O)c2cc(SCc3ccc(Br)cc3)ccc21,273.0
248,C#CCN(C)Cc1ccc(OC)c2ncccc12,275.0
249,Cc1cc(OC(F)(F)F)ccc1-c1ccc2cc(-n3ccnc3)ccc2n1,280.0
250,O=c1c2ccccc2sc2cc(O)cc(O)c12,280.0
251,C#CCNCc1cc2cc(OCc3ccccc3)ccc2[nH]1,287.3
252,CN1CCN(c2ccc(C(=O)Nc3ccc([C@@H]4C[C@H]4N)cc3)cc2)CC1,290.0
253,O=C1CCc2ccc(OCCCCCCN3CCC(Cc4ccccc4)CC3)cc2N1,300.0
254,O=C1OCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc21,303.0
255,O=c1c2ccccc2oc2cccc(O)c12,310.0
256,C[C@@H]1[C@H](NCc2ccc(Cl)cc2)[C@H]1c1ccccc1,310.0
257,O=C1CCCc2cc(OCc3ccc(Br)cc3)ccc21,311.0
258,C#CCN(C)[C@H](C)Cc1ccc(OCCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,313.0
259,CC(=O)N1N=C(c2ccc(OCC=C(C)C)cc2O)CC1c1ccc(OCc2ccccc2)cc1,316.23
260,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,317.0
261,NC1CC1c1ccc(NC(=O)C(Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,320.0
262,O=c1ccoc2ccc(OCc3ccc(F)cc3)cc12,322.0
263,O=C1OCc2ccc(OCCOc3ccc(F)cc3)cc21,323.0
264,CN1C(=N)N/C(=C\c2c[nH]c3ccc(Br)cc23)C1=O,327.0
265,COc1cccc(-c2csc(N/N=C(\C)c3ccco3)n2)c1,333.05
266,CCN(CCCCOc1cc(O)c2c(=O)c3ccccc3sc2c1)Cc1ccccc1,340.0
267,COc1cccc(-c2csc(N/N=C/c3ccco3)n2)c1,342.88
268,O=C1OCc2ccc(OCc3ccc(I)cc3)cc21,344.0
269,O=[N+]([O-])c1ccc(-c2csc(NN=C3CCCC3)n2)cc1,344.0
270,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccc(NC(=O)OCc3ccccc3)c(N3CCOCC3)c2)cc1,344.7
271,c1cn(-c2ccc3nc(-c4ccc5occc5c4)ncc3c2)cn1,350.0
272,CN(C)c1ccc(/N=C/c2ccccn2)cc1,360.0
273,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,361.38
274,C#CCCCCOc1ccc2ccc(=O)oc2c1,367.0
275,C#CCN(C)CC(=C)c1ccc(OC)cc1,370.0
276,Cc1c(Cl)c(=O)oc2cc(OCc3ccc(Br)cc3)ccc12,370.0
277,C#CCN(C)[C@H](C)Cc1ccc(OCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,372.4
278,CC(C)CCSc1ccc2c(c1)C(=O)NC2=O,380.0
279,O=c1ccoc2ccc(OCc3cccc(Br)c3)cc12,386.0
280,Cc1c(C)c2ccc(OCCCCCNCc3ccccc3)cc2oc1=O,390.0
281,O=C1CCCc2cc(OCc3cccc(F)c3)ccc21,392.0
282,COc1c(OCC(C)=O)ccc2c3c(c(=O)oc12)CCCC3,396.0
283,C#CCN(C)[C@H](C)Cc1ccc(OCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,397.8
284,N#Cc1ccc(OC/C=C/c2ccccc2)cc1C#N,399.0
285,Cc1cc(=O)oc2c(C)c(OC3CCCCC3=O)ccc12,400.0
286,COn1c(-c2ccc(C)cc2)c(C=O)c2cc(C#N)c(C#N)cc21,405.0
287,C#CCN[C@@H]1CCc2ccccc21,410.0
288,COc1cccc(-c2csc(N/N=C/c3c[nH]c4ccccc34)n2)c1,413.81
289,CN1N=C(c2ccc(O)cc2O)CC1c1cccc(Cl)c1,420.0
290,O=c1oc2cc(OCc3cccc(Cl)c3)ccc2s1,424.0
291,O=c1ccoc2ccc(OCc3cccc(Cl)c3)cc12,424.0
292,O=C(Nc1ccc(O)c(O)c1)c1coc2ccccc2c1=O,430.0
293,O=C(/C=C(O)/C=C/c1ccc(O)c(O)c1)c1ccccc1O,431.07
294,O=C1/C(=C/c2ccccc2)Cc2ccc(O)cc21,440.0
295,N#Cc1cccc(/C=C2\Cc3cc(O)ccc3C2=O)c1,444.0
296,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,449.0
297,CS(=O)(=O)c1ccc(-c2ccc3cc(-n4ccnc4)ccc3n2)cc1,450.0
298,COc1cccc(-c2csc(N/N=C(\C)c3cccnc3)n2)c1,455.16
299,O=C1/C(=C/c2ccc(N3CCCC3)cc2)Oc2cc(O)cc(O)c21,457.0
300,COc1cccc(-c2csc(N/N=C/c3cccs3)n2)c1,457.73
301,O=C1/C(=C/c2cccc(F)c2)Cc2cc(O)ccc21,458.0
302,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2cn(C(=O)OCc3ccccc3)c3ccccc23)cc1,460.0
