,smiles,ic50
257,CC(=O)N[C@H]1CC(=O)N(c2ccc(OCc3cccc(F)c3)cc2)C1,16.0
258,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,16.0
259,Fc1ccc(-c2csc(NN=C3CCCCCC3)n2)c(F)c1,16.0
260,CC(=O)c1cccc(OCc2ccc(Br)cc2)c1,16.5
261,Fc1ccc(-c2csc(N/N=C\c3cccs3)n2)c(F)c1,16.58
262,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,16.58
263,C/C(=N/Nc1nc(-c2ccc(F)cc2F)cs1)c1ccncc1,16.68
264,Cn1c(=O)c2c(nc(SCCc3cccc(C(F)(F)F)c3)n2C)n(C)c1=O,17.0
265,O=C1CCCc2cc(OCc3cccc(F)c3)ccc21,17.0
266,Cc1ccc(-c2[nH]c3cc(C#N)c(C#N)cc3c2Cl)cc1,17.0
267,O=c1ccoc2cc(OCc3cccc(Cl)c3)ccc12,17.0
268,Cc1cc2ccc(OCc3ccc(CN(C)Cc4ccc(C#N)cc4)cc3)cc2oc1=O,17.0
269,O=C1NC(=O)c2cc(OCCc3ccccc3)ccc21,17.0
270,COc1ccc2oc(=O)c(-c3cccc(C)c3)cc2c1,17.05
271,Cc1cccc(NC(=O)c2coc3ccc(C)cc3c2=O)c1,17.1
272,O=C(O)C1=Cc2ccccc2CC1=O,17.38
273,O=C(O)c1cc2ccccc2oc1=O,17.38
274,O=C(CCc1ccccc1)Nc1nc2ccccc2c(=O)s1,17.6
275,Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O,17.8
276,C[C@@H]1CCC/C(=N/Nc2nc(-c3ccc(F)cc3F)cs2)C1,18.0
277,Cc1c(C#N)c(=O)oc2cc(OCc3ccc(Br)cc3Br)ccc12,18.0
278,CCN(CCCCCCOc1ccc2c(C)c(C)c(=O)oc2c1)Cc1ccccc1,18.0
279,O=C1OCc2ccc(OCCOc3ccccc3)cc21,18.0
280,N#CCCN1CC(=O)OC(c2ccc(OCc3ccccc3)cc2)=N1,18.0
281,C#CCCCOc1ccc2c(C)cc(=O)oc2c1,18.2
282,C/C(=N/Nc1nc(-c2ccc(F)cc2F)cs1)c1cccnc1,18.4
283,COc1ccc2oc(=O)c(C(=O)Nc3ccc(Cl)cc3)cc2c1,18.9
284,Cn1c(=O)c2c(nc(SCCc3ccc(Br)cc3)n2C)n(C)c1=O,19.0
285,Cc1cccc(COc2ccc3occc(=O)c3c2)c1,19.0
286,C#CCN(C)C(C)Cc1ccccc1,19.0
287,Cn1c(=O)c2c(nc(SCCc3ccc(C(F)(F)F)cc3)n2C)n(C)c1=O,19.0
288,Cc1ccc2c(c1)C=C(C(=O)O)C(=O)C2,19.05
289,Cc1ccc2oc(=O)c(C(=O)O)cc2c1,19.05
290,CC(=O)N1N=C(c2ccc(C)cc2)OC1c1ccc(Cl)c(Cl)c1,19.35
291,COc1ccc2oc(=O)c(C(=O)Nc3ccc(C)cc3)cc2c1,19.43
292,O=C(O)c1cc2cc([N+](=O)[O-])ccc2oc1=O,19.5
293,O=C(O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,19.5
294,NNC(=O)C1(c2ccccc2)CC1F,20.0
295,COc1ccc(-c2[nH]c3cc(C#N)c(C#N)cc3c2Cl)cc1,20.0
296,CCc1ccc(NC(=S)N/N=C/c2ccc(-n3nc4c(c3-c3ccccc3)N(C)S(=O)(=O)c3ccccc3-4)cc2)cc1,20.0
297,COc1ccc(CSc2ccc3c(c2)C(=O)NC3=O)cc1,20.0
298,COCC(COc1ccc(OCc2cccc(C(F)(F)F)c2)cc1C(C)=O)C(=O)OC,20.0
299,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2)cs1,20.0
300,C#CCNC1CCc2c(OCCc3cccc(NC(=O)c4ccc(Cl)cc4)c3)cccc21,20.0
301,Cn1c(=O)c2c(nc(SCCc3ccc(Cl)cc3)n2C)n(C)c1=O,20.0
302,C#CCN(C)CCc1ccc(O)c2ncccc12,20.0
303,O=c1ccoc2ccc(OCCc3ccccc3)cc12,21.0
304,CC(=O)c1cccc(OCc2cccc(C(F)(F)F)c2)c1,21.2
305,Cc1ccc2occ(C(=O)Nc3ccccc3)c(=O)c2c1,21.35
306,CCOC(=O)c1cc2ccc(OC3CCCCCC3)cc2oc1=O,21.47
307,CC(=O)c1ccc(OCc2cccc(Cl)c2)cc1,21.5
308,O=C1CCOc2cc(OCc3ccc(Br)cc3)ccc21,21.56
309,COc1ccc2occ(C(=O)Nc3cccc(C)c3)c(=O)c2c1,21.8
310,O=C1COC(c2ccc(/C=C/c3cccc(F)c3)cc2)=NN1,22.0
311,N#Cc1ccc(COc2ccc3occc(=O)c3c2)cc1,22.0
312,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1,22.01
313,O=C(O)C1=Cc2cc(Cl)ccc2CC1=O,22.91
314,COc1ccc(CCSc2nc3c(c(=O)n(C)c(=O)n3C)n2C)cc1,23.0
315,O=C1OCc2ccc(OCc3ccccc3)cc21,24.0
316,Cc1c(C)c2ccc(OCc3ccc(CN(C)Cc4ccc(C#N)cc4)cc3)cc2oc1=O,24.0
317,CN(Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1)Cc1cccc(Cl)c1,24.0
318,C/C(=N/Nc1nc(-c2ccc(F)cc2)cs1)c1ccccn1,24.31
319,C#CCCCCOc1ccc2oc(=O)c(NC(C)=O)cc2c1,24.7
